scenario,seed,policy,k,true_T_C,reading_C,requested,accepted,applied,acknowledged,decision_id,cumulative_effort,lo_C,hi_C,valid,reason,predicted_peak_C,pending_json,next_T_C,interval_miss,breach
delay_20,4000,interval_queue,50,76.80904787609836,76.92877907736245,1.0,1.0,1.0,1.0,51,31.0,76.62877907736245,77.22877907736245,1,,91.79315670180073,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",76.99292675110298,0,0
delay_20,4000,interval_queue,51,76.99292675110298,77.09356656341905,1.0,1.0,1.0,1.0,52,32.0,76.79356656341905,77.39356656341904,1,,91.94147984627114,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",77.15508909400369,0,0
delay_20,4000,interval_queue,52,77.15508909400369,76.93170900477227,1.0,1.0,1.0,1.0,53,33.0,76.63170900477228,77.23170900477227,1,,91.7957938926269,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",77.30405873778352,0,0
delay_20,4000,interval_queue,53,77.30405873778352,77.21278523341746,1.0,1.0,1.0,1.0,54,34.0,76.91278523341747,77.51278523341746,1,,92.04878707230448,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",77.47179945678104,0,0
delay_20,4000,interval_queue,54,77.47179945678104,77.4447471163185,1.0,1.0,1.0,1.0,55,35.0,77.1447471163185,77.74474711631849,1,,92.2575730468495,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",77.65425538166052,0,0
delay_20,4000,interval_queue,55,77.65425538166052,77.88457895858178,1.0,1.0,1.0,1.0,56,36.0,77.58457895858179,78.18457895858178,1,,92.653460158449,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",77.8307886287451,0,0
delay_20,4000,interval_queue,56,77.8307886287451,77.78790620111937,1.0,1.0,1.0,1.0,57,37.0,77.48790620111937,78.08790620111937,1,,92.56644622483925,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",78.00963453287036,0,0
delay_20,4000,interval_queue,57,78.00963453287036,78.19947089312068,1.0,1.0,1.0,1.0,58,38.0,77.89947089312068,78.49947089312067,1,,92.93689042986615,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",78.16943327115955,0,0
delay_20,4000,interval_queue,58,78.16943327115955,78.11064926239806,1.0,1.0,1.0,1.0,59,39.0,77.81064926239806,78.41064926239805,1,,92.8569431967295,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",78.34526674698142,0,0
delay_20,4000,interval_queue,59,78.34526674698142,78.59399078443974,1.0,1.0,1.0,1.0,60,40.0,78.29399078443974,78.89399078443974,1,,93.29199282408837,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",78.51117052781188,0,0
delay_20,4000,interval_queue,60,78.51117052781188,78.74273617867529,1.0,1.0,1.0,1.0,61,41.0,78.44273617867529,79.04273617867528,1,,93.42587668339384,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",78.65984398276012,0,0
delay_20,4000,interval_queue,61,78.65984398276012,78.50249355586878,1.0,1.0,1.0,1.0,62,42.0,78.20249355586878,78.80249355586878,1,,93.20963731896639,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",78.81464683880718,0,0
delay_20,4000,interval_queue,62,78.81464683880718,78.87093618640019,1.0,1.0,1.0,1.0,63,43.0,78.57093618640019,79.17093618640018,1,,93.54126789860025,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",78.94814367030409,0,0
delay_20,4000,interval_queue,63,78.94814367030409,79.04911632052949,1.0,1.0,1.0,1.0,64,44.0,78.7491163205295,79.34911632052949,1,,93.70164559722684,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",79.11036344764427,0,0
delay_20,4000,interval_queue,64,79.11036344764427,79.02105563977656,1.0,1.0,1.0,1.0,65,45.0,78.72105563977657,79.32105563977656,1,,93.67638853126354,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",79.25374808957719,0,0
delay_20,4000,interval_queue,65,79.25374808957719,79.16910465629363,1.0,1.0,1.0,1.0,66,46.0,78.86910465629363,79.46910465629362,1,,93.80964558973956,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",79.37974768137255,0,0
delay_20,4000,interval_queue,66,79.37974768137255,79.12724703923085,1.0,1.0,1.0,1.0,67,47.0,78.82724703923085,79.42724703923085,1,,93.77197007486063,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",79.53371307610809,0,0
delay_20,4000,interval_queue,67,79.53371307610809,79.33111695701093,1.0,1.0,1.0,1.0,68,48.0,79.03111695701094,79.63111695701093,1,,93.95547082477604,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",79.66772720447668,0,0
